string,log_prob,count
"fnot(fand(True,isshape(obj_2(d),fdiamond())))",-9.821843563495616,15
"fand(fnot(istexture(obj_2(d),fdots())),True)",-9.821843563495616,15
"fand(isshape(obj_2(d),fsquare()),sametexture(d))",-8.435549202375727,14
"fand(sameshape(d),isshape(obj_1(d),fsquare()))",-8.435549202375727,14
"fand(sametexture(d),isshape(obj_2(d),fsquare()))",-8.435549202375727,14
"fnot(fnot(fnot(istexture(obj_2(d),fdots()))))",-8.72323127482751,14
"fnot(fnot(fnot(isshape(obj_2(d),fdiamond()))))",-8.72323127482751,14
"fnot(fnot(fnot(isshape(obj_2(d),fsquare()))))",-8.72323127482751,14
"fnot(fand(fnot(sametexture(d)),sameshape(d)))",-9.128696382935672,14
fnot(fnot(fnot(fnot(fnot(sametexture(d)))))),-9.416378455387449,14
"fand(True,fnot(istexture(obj_1(d),fstripes())))",-9.821843563495618,14
"fand(isshape(obj_1(d),fsquare()),fnot(True))",-9.821843563495618,14
"fand(fnot(isshape(obj_2(d),fsquare())),True)",-9.821843563495618,14
"fand(istexture(obj_1(d),fstripes()),fnot(True))",-9.821843563495618,14
"fand(isshape(obj_2(d),fsquare()),fnot(True))",-9.821843563495618,14
"fand(True,fnot(istexture(obj_1(d),fdots())))",-9.821843563495618,14
"fand(fand(True,True),sameshape(d))",-10.227308671603783,14
"fand(fand(True,True),sametexture(d))",-10.227308671603783,14
"fand(True,fnot(fnot(fnot(True))))",-10.514990744055563,14
"fand(fnot(fnot(True)),fnot(True))",-10.514990744055563,14
"fand(fnot(sameshape(d)),fnot(sametexture(d)))",-9.128696382935672,13
"fand(fnot(fnot(sametexture(d))),sameshape(d))",-9.128696382935672,13
"fand(fnot(sametexture(d)),fnot(sametexture(d)))",-9.128696382935672,13
"fnot(fand(True,isshape(obj_2(d),fcircle())))",-9.821843563495618,13
"fand(fnot(isshape(obj_1(d),ftriangle())),True)",-9.821843563495618,13
"fand(isshape(obj_1(d),fcircle()),fnot(True))",-9.821843563495618,13
"fnot(fand(True,istexture(obj_2(d),fcheckered())))",-9.821843563495618,13
"fand(fnot(istexture(obj_1(d),fcheckered())),True)",-9.821843563495618,13
"fnot(fand(istexture(obj_2(d),fcheckered()),True))",-9.821843563495618,13
"fand(fnot(True),isshape(obj_1(d),fsquare()))",-9.821843563495618,13
"fand(fnot(True),istexture(obj_1(d),fcheckered()))",-9.821843563495618,13
"fand(True,fand(sametexture(d),True))",-10.227308671603783,13
"fand(fand(True,sameshape(d)),True)",-10.227308671603783,13
"fnot(fand(True,fnot(fnot(True))))",-10.514990744055563,13
"fnot(fand(fnot(True),fnot(True)))",-10.514990744055563,13
"fnot(fnot(fnot(istexture(obj_1(d),fstripes()))))",-8.72323127482751,12
"fnot(fnot(fnot(istexture(obj_1(d),fdots()))))",-8.72323127482751,12
"fnot(fnot(fnot(isshape(obj_1(d),fdiamond()))))",-8.72323127482751,12
"fnot(fnot(fnot(isshape(obj_1(d),fsquare()))))",-8.72323127482751,12
"fand(fnot(fnot(sametexture(d))),sametexture(d))",-9.128696382935672,12
"fand(fnot(True),isshape(obj_2(d),ftriangle()))",-9.821843563495618,12
"fand(True,fnot(isshape(obj_1(d),fcircle())))",-9.821843563495618,12
"fand(fnot(isshape(obj_2(d),fdiamond())),True)",-9.821843563495618,12
"fand(fnot(True),istexture(obj_2(d),fplain()))",-9.821843563495618,12
"fand(istexture(obj_1(d),fdots()),fnot(True))",-9.821843563495618,12
"fand(istexture(obj_2(d),fdots()),fnot(True))",-9.821843563495618,12
"fnot(fand(isshape(obj_2(d),fdiamond()),True))",-9.821843563495618,12
"fnot(fand(istexture(obj_2(d),fdots()),True))",-9.821843563495618,12
"fand(fnot(True),isshape(obj_2(d),fsquare()))",-9.821843563495618,12
"fnot(fand(isshape(obj_1(d),fcircle()),True))",-9.821843563495618,12
"fnot(fand(istexture(obj_2(d),fplain()),True))",-9.821843563495618,12
"fand(fnot(True),isshape(obj_1(d),ftriangle()))",-9.821843563495618,12
"fand(sametexture(d),fand(True,True))",-10.227308671603781,12
"fand(True,fand(sameshape(d),sametexture(d)))",-10.227308671603781,12
"fand(True,fand(True,sameshape(d)))",-10.227308671603781,12
"fand(sameshape(d),istexture(obj_1(d),fdots()))",-8.435549202375727,11
"fnot(fnot(fnot(isshape(obj_2(d),ftriangle()))))",-8.72323127482751,11
"fnot(fand(fnot(sametexture(d)),sametexture(d)))",-9.128696382935672,11
"fand(sameshape(d),fnot(fnot(sametexture(d))))",-9.128696382935672,11
"fand(sameshape(d),fnot(fnot(sameshape(d))))",-9.128696382935672,11
"fnot(fand(True,isshape(obj_1(d),fdiamond())))",-9.821843563495618,11
"fand(istexture(obj_2(d),fcheckered()),fnot(True))",-9.821843563495618,11
"fnot(fand(True,istexture(obj_1(d),fcheckered())))",-9.821843563495618,11
"fand(fnot(isshape(obj_2(d),fcircle())),True)",-9.821843563495618,11
"fand(fnot(isshape(obj_1(d),fsquare())),True)",-9.821843563495618,11
"fand(True,fnot(istexture(obj_1(d),fplain())))",-9.821843563495618,11
"fand(fnot(True),istexture(obj_2(d),fstripes()))",-9.821843563495618,11
"fand(True,fnot(istexture(obj_2(d),fstripes())))",-9.821843563495618,11
"fnot(fand(isshape(obj_2(d),ftriangle()),True))",-9.821843563495618,11
"fand(fnot(True),isshape(obj_1(d),fcircle()))",-9.821843563495618,11
"fnot(fand(isshape(obj_2(d),fcircle()),True))",-9.821843563495618,11
"fand(isshape(obj_2(d),fcircle()),fnot(True))",-9.821843563495618,11
"fand(fnot(isshape(obj_1(d),fcircle())),sameshape(d))",-9.821843563495618,11
"fand(isshape(obj_1(d),fdiamond()),fnot(True))",-9.821843563495618,11
"fand(fnot(isshape(obj_2(d),ftriangle())),True)",-9.821843563495618,11
"fnot(fand(istexture(obj_1(d),fdots()),True))",-9.821843563495618,11
"fnot(fand(fnot(sametexture(d)),fnot(True)))",-10.514990744055565,11
"fnot(fnot(fand(sametexture(d),fnot(True))))",-10.514990744055565,11
"fnot(fnot(fand(sametexture(d),sametexture(d))))",-9.128696382935672,10
"fnot(fnot(fand(sameshape(d),sametexture(d))))",-9.128696382935672,10
"fand(fnot(fnot(sameshape(d))),sametexture(d))",-9.128696382935672,10
"fand(fnot(istexture(obj_1(d),fplain())),sameshape(d))",-9.821843563495618,10
"fnot(fand(isshape(obj_1(d),fdiamond()),True))",-9.821843563495618,10
"fand(fnot(True),isshape(obj_1(d),fdiamond()))",-9.821843563495618,10
"fand(True,fnot(istexture(obj_2(d),fplain())))",-9.821843563495618,10
"fand(fnot(sametexture(d)),istexture(obj_2(d),fplain()))",-9.821843563495618,10
"fand(True,fnot(isshape(obj_2(d),fcircle())))",-9.821843563495618,10
"fand(fnot(True),isshape(obj_2(d),fcircle()))",-9.821843563495618,10
"fand(fnot(istexture(obj_2(d),fstripes())),True)",-9.821843563495618,10
"fnot(fand(True,isshape(obj_1(d),fsquare())))",-9.821843563495618,10
"fand(fnot(True),istexture(obj_1(d),fdots()))",-9.821843563495618,10
