condition,action,log_cum_rewards_mean,highest_levels_mean,epi_probs_mean,recover_rate_mean,n,log_cum_rewards_ci_lo,log_cum_rewards_ci_hi,highest_levels_ci_lo,highest_levels_ci_hi,epi_probs_ci_lo,epi_probs_ci_hi,recover_rate_ci_lo,recover_rate_ci_hi
hard,30,7.48290015255053,3.216666666666667,0.07625,0.7420833333333333,60,6.59915174036007,8.366648564740991,2.821107028311978,3.6122263050213554,0.06081172542930963,0.09168827457069037,0.6834846083231543,0.8006820583435124
hard,31,7.3682258739237065,3.216666666666667,0.06791666666666667,0.7494444444444445,60,6.451834982035188,8.284616765812226,2.8102813699146854,3.623051963418648,0.05682271595873098,0.07901061737460235,0.6907080272454214,0.8081808616434676
hard,32,7.576554085158905,3.25,0.06805555555555555,0.7354166666666667,60,6.662468298606041,8.49063987171177,2.8448627909064754,3.6551372090935246,0.05614528956043636,0.07996582155067475,0.6718849723332766,0.7989483610000568
hard,33,7.532322655896553,3.216666666666667,0.07284722222222223,0.7382638888888889,60,6.591417295277211,8.473228016515893,2.799736706916711,3.6335966264166224,0.05976716518065267,0.08592727926379179,0.6744186292639189,0.802109148513859
hard,34,7.536261866081969,3.2666666666666666,0.07055555555555555,0.7358333333333333,60,6.596224123175217,8.476299608988722,2.845142001534837,3.688191331798496,0.05700103667018554,0.08411007444092557,0.6723459291523292,0.7993207375143375
hard,35,7.667896783313769,3.3,0.06576388888888889,0.7445138888888889,60,6.727955651652212,8.607837914975327,2.8799367279297403,3.7200632720702593,0.053738036523895194,0.07778974125388258,0.6804868162481483,0.8085409615296295
hard,36,7.837521393990291,3.3,0.07604166666666666,0.7372916666666666,60,6.897710684212607,8.777332103767975,2.8799367279297403,3.7200632720702593,0.06197187290707163,0.0901114604262617,0.6734753523121579,0.8011079810211752
hard,37,7.849576143847523,3.3,0.07361111111111111,0.7431944444444445,60,6.912150822771165,8.78700146492388,2.8799367279297403,3.7200632720702593,0.061479854649235624,0.0857423675729866,0.6791045866603234,0.8072843022285656
hard,38,7.858083579011558,3.3,0.070625,0.7411805555555555,60,6.922974577646404,8.793192580376713,2.8799367279297403,3.7200632720702593,0.058310689056959644,0.08293931094304034,0.6770489314642003,0.8053121796469107
hard,39,7.870443521185061,3.3,0.06270833333333334,0.7484027777777779,60,6.93748330447071,8.803403737899412,2.8799367279297403,3.7200632720702593,0.05195041720902155,0.07346624945764513,0.6841077294899626,0.8126978260655932
med,0,1.6666666482042153e-10,0.11666666666666667,0.29881944444444447,0.6202083333333334,60,-1.5999999822760454e-10,4.933333278684476e-10,0.03475122636571558,0.19858210696761774,0.22994456196565666,0.3676943269232323,0.5874812655282002,0.6529354011384665
med,1,0.03837641839990077,0.2833333333333333,0.24076388888888892,0.650625,60,-0.03684136133170133,0.11359419813150287,0.15081119646243682,0.41585547020422986,0.1860665795008136,0.2954611982769642,0.6220236615089284,0.6792263384910716
med,2,0.11671775786159255,0.4666666666666667,0.2555555555555556,0.6531944444444445,60,-0.013128208097896193,0.2465637238210813,0.2776185804353555,0.6557147528979779,0.2005506344342391,0.3105604766768721,0.6258936449513735,0.6804952439375156
med,3,0.2718119342897526,0.6833333333333333,0.19326388888888887,0.6915972222222223,60,0.0809270920703983,0.4626967765091069,0.43466048689159015,0.9320061797750765,0.15001156200961155,0.2365162157681662,0.6706144383144069,0.7125800061300377
med,4,0.5512239820824271,0.9166666666666666,0.17506944444444444,0.7043750000000001,60,0.2171780867364002,0.885269877428454,0.6173019280879031,1.2160314052454302,0.12552362154242694,0.22461526734646195,0.6805309430361508,0.7282190569638494
med,5,1.0884938376660562,1.1166666666666667,0.19618055555555555,0.6924305555555555,60,0.5136911102363407,1.6632965650957718,0.7646560201062224,1.468677313227111,0.14271430092364887,0.24964681018746224,0.6644070413360633,0.7204540697750478
med,6,1.8055512777918852,1.25,0.18090277777777777,0.7018749999999999,60,1.0459253875826973,2.565177168001073,0.8754845691969361,1.624515430803064,0.12635371192653952,0.23545184362901603,0.6739174938446983,0.7298325061553015
